postcode,suburb,lat,lon
4505,Burpengary,-27.1678,152.9667
4506,Morayfield,-27.1378,152.9567
4507,Bribie Island,-26.9978,153.1567
4508,Mango Hill,-27.2278,153.0267
4509,North Lakes,-27.2378,153.0267
4510,Caboolture,-27.0778,152.9567
4511,Ningi,-27.0678,153.0367
4512,Woodford,-26.9578,152.7867
4515,Kilcoy,-26.9578,152.5667
4516,Elimbah,-27.0478,152.9367
4517,Beerwah,-26.8578,152.9567
4518,Glass House Mountains,-26.9078,152.9367
4519,Landsborough,-26.8178,152.9667
4520,Cedar Creek,-27.3778,152.8067
4521,Samford Valley,-27.3778,152.8767
4550,Caloundra,-26.8028,153.1267
4551,Currimundi,-26.7528,153.1367
4552,Maleny,-26.7578,152.8567
4553,Mooloolah Valley,-26.7578,152.9567
4554,Palmview,-26.7378,153.0567
4555,Eudlo,-26.7278,152.9967
4556,Buderim,-26.6828,153.0567
4557,Mooloolaba,-26.6828,153.1167
4558,Maroochydore,-26.6528,153.1017
4559,Nambour,-26.6278,152.9567
4560,Eumundi,-26.4878,152.9667
4561,Cooroy,-26.4278,152.9067
4562,Noosa Heads,-26.3928,153.0967
4563,Tewantin,-26.3878,153.0367
4564,Peregian Beach,-26.4878,153.1067
4565,Noosaville,-26.4028,153.0667
4566,Sunshine Beach,-26.3778,153.1017
4567,Coolum Beach,-26.5328,153.0967
4568,Marcus Beach,-26.4378,153.0967
4569,Pomona,-26.3678,152.8567
4570,Gympie,-26.1878,152.6667
4571,Tin Can Bay,-25.9178,152.9867
4572,Minyama,-26.6928,153.1167
4573,Twin Waters,-26.6328,153.1017
4574,Yandina,-26.5678,152.9567
4575,Bokarina,-26.7328,153.1267
4580,Rainbow Beach,-25.9078,153.0967
